MANDT,VBELN,AUART,VKORG,VTWEG,SPART,KUNNR,AUDAT,ERDAT,WAERK,GBSTK,BSTNK
100,5000000579,OR,1000,20,01,0000100055,2026-04-15,2026-04-15,,C,PO-56115
100,5000000580,OR,1000,10,01,0000100088,2025-11-24,2025-11-24,EGP,C,PO-82575
100,5000000581,OR,2000,20,00,0000100062,2026-02-23,2026-02-24,EGP,C,PO-61062
100,5000000582,ZOR,2000,10,00,0000100003,30/01/2025,2025-01-30,EGP,B,PO-87048
100,5000000583,OR,2000,10,01,0000100077,2025-01-13,2025-01-13,egp,A,PO-75601
100,5000000584,OR,2000,10,00,0000100071,2026-05-14,2026-05-14,EGP,B ,PO-15702
100,5000000585,OR, 1000,10,01,0000100030,2025-08-11,2025-08-11,EGP,B ,PO-19349
100,5000000586,ZOR,2000,10,01,0000100060,2025-05-23,2025-05-23,EGP,C,PO-30742
100,5000000587,OR,1000,20,01,0000100044,2026-01-17,2026-01-18,EGP,C,PO-41198
100,5000000588,OR, 2000,20,01,0000100011,2026-05-15,2026-05-16,EGP,C,PO-58514
100,5000000589,OR,1000,10,00,0000100034,2026-04-08,2026-04-08,EGP,,PO-13377
100,5000000590,OR,2000,20,00,0000100038,2026-13-05,2026-06-21,EGP,A,PO-63255
100,5000000591,OR,1000,20,00,0000100082,2025-01-16,2025-01-16,EGP,C,PO-35880
100,5000000592,OR,1000,10,00,0000100055,2025-10-14,2025-10-14,EGP,C,PO-37632
100,5000000593,OR,1000,20,00,0000100023,2025-07-13,2025-07-14,EGP,C,PO-12881
100,5000000594,OR,1000,10,00,0000100070,2026-05-08,2026-05-08,EGP,C,PO-81182
100,5000000595,OR,3000,20,01,0000100016,2025-04-13,2025-04-14,EGP,C,PO-30307
100,5000000596,OR,3000,20,00,0000100090,2026-04-16,2026-04-17,EGP,C,PO-15344
100,5000000597,OR,2000,20,01,0000100097,2026-13-05,2026-03-20,EGP,C,PO-65241
100,5000000598,ZOR,1000,10,01,0000100039,2026/02/14,2026-02-14,EGP,C,PO-48936
100,5000000599,OR,1000,20,01,0000100008,2025-06-20,2025-06-21,EGP,C,PO-70500
100,5000000600,OR,1000,10,01,0000100078,2026-06-19,2026-06-19,EGP,A,PO-94859
100,5000000038,OR,2000,10,01,0000100039,2026-06-30,2026-06-30,,A,PO-51424
100,5000000314,OR,1000,20,01,0000100081,2026-03-20,2026-03-20,EGP ,C,PO-23264
100,5000000258,OR,1000,10,00,0000100085,2025-08-29,2025-08-29,EGP,B,PO-83750
100,5000000334,OR,1000,10,00,0000100014,2025-03-20,2025-03-20,EGP,C,PO-57926
100,5000000419,ZOR,2000,10,01,0000100041,2025-08-04,2025-08-05,EGP,C,PO-86867
100,5000000405,OR,2000,20,00,0000100059,2025-10-30,2025-10-30,EGP,C,PO-57098
100,5000000031,OR,1000,10,01,0000100055,2026-08-01,2026-08-01,EGP,C,PO-89724
100,5000000321,OR,1000,10,01,0000100076,2025-10-31,2025-10-31,EGP,B,PO-50902
100,5000000299,OR,3000,20,01,0000100075,2025-03-03,2025-03-03,EGP,C,PO-44590
100,5000000180,OR,1000,20,00,0000100038,2025-05-09,2025-05-10,EGP,C,PO-69325
100,5000000091,OR,2000,10,00,0000100069,2026-03-12,2026-03-12,EGP,C,PO-39828
100,5000000311,OR,2000,10,01,0000100083,2025-07-18,2025-07-19,EGP,A,PO-79845
